customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis,delay_days
barra do turvo,SP,1,11.11,20 days 16:32:54,Retrasos severos: rutas largas o problemas logísticos regionales,20.68951388888889
rio do pires,BA,1,11.11,1 days 12:47:12,Retraso leve: problemas típicos de última hora o reparto urbano,1.5327777777777778
rio das pedras,SP,1,11.11,2 days 19:52:41,Retraso leve: problemas típicos de última hora o reparto urbano,2.8282523148148146
rio claro,RJ,1,11.11,8 days 17:28:30,Retraso moderado: problemas recurrentes pero no críticos,8.728125
rio claro,RJ,1,11.11,3 days 23:13:39.400000,Retraso moderado: problemas recurrentes pero no críticos,3.96781712962963
rio brilhante,MS,1,11.11,2 days 23:51:04,Retraso leve: problemas típicos de última hora o reparto urbano,2.9937962962962965
rio bananal,ES,1,11.11,3 days 15:38:38,Retraso moderado: problemas recurrentes pero no críticos,3.651828703703704
ronda alta,RS,1,11.11,10 days 18:03:34,Retrasos severos: rutas largas o problemas logísticos regionales,10.752476851851851
rolante,RS,1,11.11,12 days 18:04:41,Retrasos severos: rutas largas o problemas logísticos regionales,12.753252314814814
guarani,MG,1,11.11,1 days 20:24:52,Retraso leve: problemas típicos de última hora o reparto urbano,1.8506018518518519
guapore,RS,1,11.11,2 days 18:43:24,Retraso leve: problemas típicos de última hora o reparto urbano,2.7801388888888887
guapimirim,RJ,1,11.11,15 days 23:31:54,Retrasos severos: rutas largas o problemas logísticos regionales,15.98048611111111
guanhaes,MG,1,11.11,8 days 19:52:07,Retraso moderado: problemas recurrentes pero no críticos,8.827858796296296
guabiruba,SC,1,11.11,1 days 01:12:05,Retraso leve: problemas típicos de última hora o reparto urbano,1.0500578703703705
gravata,PE,1,12.5,5 days 17:33:17,Retraso moderado: problemas recurrentes pero no críticos,5.731446759259259
grao mogol,MG,1,12.5,6 days 22:48:47,Retraso moderado: problemas recurrentes pero no críticos,6.950543981481482
granja,CE,1,12.5,35 days 17:08:54,Retrasos severos: rutas largas o problemas logísticos regionales,35.71451388888889
gouveia,MG,1,12.5,13 days 16:17:48,Retrasos severos: rutas largas o problemas logísticos regionales,13.679027777777778
goncalves dias,MA,1,12.5,17 days 22:19:13,Retrasos severos: rutas largas o problemas logísticos regionales,17.930011574074076
goiatuba,GO,1,12.5,28 days 14:02:33,Retrasos severos: rutas largas o problemas logísticos regionales,28.585104166666667
goianesia,GO,1,12.5,6 days 15:13:08,Retraso moderado: problemas recurrentes pero no críticos,6.63412037037037
glicerio,SP,1,12.5,5 days 09:23:30.500000,Retraso moderado: problemas recurrentes pero no críticos,5.391325231481481
glicerio,SP,1,12.5,1 days 12:18:59,Retraso leve: problemas típicos de última hora o reparto urbano,1.5131828703703705
rodolfo fernandes,RN,1,12.5,0 days 20:51:23,Retraso leve: problemas típicos de última hora o reparto urbano,0.8690162037037037
santa cruz da conceicao,SP,1,12.5,5 days 19:27:44,Retraso moderado: problemas recurrentes pero no críticos,5.810925925925926
santa cruz cabralia,BA,1,12.5,5 days 20:02:27,Retraso moderado: problemas recurrentes pero no críticos,5.835034722222222
santa cruz,PE,1,12.5,12 days 14:07:40,Retrasos severos: rutas largas o problemas logísticos regionales,12.588657407407407
santa branca,SP,1,12.5,1 days 22:54:44,Retraso leve: problemas típicos de última hora o reparto urbano,1.9546759259259259
santa barbara do sul,RS,1,12.5,11 days 00:25:36,Retrasos severos: rutas largas o problemas logísticos regionales,11.017777777777777
santa adelia,SP,1,12.5,4 days 11:56:55,Retraso moderado: problemas recurrentes pero no críticos,4.497858796296296
sangao,SC,1,12.5,14 days 20:53:03,Retrasos severos: rutas largas o problemas logísticos regionales,14.870173611111111
sananduva,RS,1,12.5,6 days 19:36:34,Retraso moderado: problemas recurrentes pero no críticos,6.817060185185185
salto do lontra,PR,1,12.5,5 days 17:27:39,Retraso moderado: problemas recurrentes pero no críticos,5.727534722222222
salgueiro,PE,1,12.5,19 days 16:58:30,Retrasos severos: rutas largas o problemas logísticos regionales,19.707291666666666
salgado filho,PR,1,12.5,0 days 12:54:47,Retraso leve: problemas típicos de última hora o reparto urbano,0.5380439814814815
salesopolis,SP,1,12.5,4 days 19:32:09,Retraso moderado: problemas recurrentes pero no críticos,4.813993055555556
sabara,MG,1,12.5,5 days 22:51:39,Retraso moderado: problemas recurrentes pero no críticos,5.9525347222222225
russas,CE,1,12.5,9 days 19:18:47,Retraso moderado: problemas recurrentes pero no críticos,9.804710648148149
rubineia,SP,1,12.5,41 days 17:34:42,Retrasos severos: rutas largas o problemas logísticos regionales,41.73243055555555
rubim,MG,1,12.5,0 days 10:11:48,Retraso leve: problemas típicos de última hora o reparto urbano,0.42486111111111113
santa rosa,RS,1,12.5,5 days 15:28:47,Retraso moderado: problemas recurrentes pero no críticos,5.644988425925926
santa quiteria do maranhao,MA,1,12.5,8 days 16:37:19,Retraso moderado: problemas recurrentes pero no críticos,8.692581018518519
santa maria madalena,RJ,1,12.5,8 days 19:49:02,Retraso moderado: problemas recurrentes pero no críticos,8.825717592592593
santa maria de jetiba,ES,1,12.5,13 days 16:43:40,Retrasos severos: rutas largas o problemas logísticos regionales,13.696990740740741
santa maria de itabira,MG,1,12.5,3 days 22:25:02,Retraso moderado: problemas recurrentes pero no críticos,3.9340509259259258
santa maria,RJ,1,12.5,56 days 05:12:09,Retrasos severos: rutas largas o problemas logísticos regionales,56.216770833333335
santa maria,RJ,1,12.5,17 days 11:07:26.266666666,Retrasos severos: rutas largas o problemas logísticos regionales,17.463498456790116
santa luzia,PB,1,12.5,19 days 10:54:38,Retrasos severos: rutas largas o problemas logísticos regionales,19.45460648148148
santa luzia,PB,1,12.5,5 days 08:29:29.400000,Retraso moderado: problemas recurrentes pero no críticos,5.3538125
santa juliana,MG,1,12.5,4 days 02:51:53,Retraso moderado: problemas recurrentes pero no críticos,4.1193634259259255
santa ines,BA,1,12.5,13 days 17:03:44,Retrasos severos: rutas largas o problemas logísticos regionales,13.710925925925926
santa ines,BA,1,12.5,8 days 17:35:27,Retraso moderado: problemas recurrentes pero no críticos,8.732951388888889
santa helena,PR,1,12.5,6 days 18:02:59,Retraso moderado: problemas recurrentes pero no críticos,6.752071759259259
santa gertrudes,SP,1,12.5,13 days 21:42:39,Retrasos severos: rutas largas o problemas logísticos regionales,13.904618055555556
